day_of_week,hour,service_type,queue_length,people_arriving,people_served,active_counters,staff_available,average_service_time,capacity,holiday,current_crowd,future_crowd,year,month,day
1,10,1,90,1,0,1,1,14.245551109803584,1,0,91,90,2025,9,29
3,12,1,71,4,1,2,4,9.41235552686835,2,0,75,77,2025,8,3
5,10,1,95,10,2,3,4,11.453408230080113,3,0,105,115,2025,11,11
4,21,3,256,4,4,4,4,7.000481852162884,6,0,260,259,2025,4,24
2,19,1,130,2,2,4,5,12.26271300286794,3,0,132,131,2025,4,5
3,11,0,25,2,1,2,2,9.47205557257494,2,0,27,26,2025,4,6
1,10,1,73,9,0,1,3,12.9023931394159,1,0,82,90,2025,6,16
4,8,3,38,6,10,5,6,3.48135200314976,14,0,44,40,2025,11,13
5,20,1,337,2,1,2,3,11.016305896597526,2,1,339,340,2025,7,29
5,5,3,25,5,7,4,6,5.093246918656063,8,0,30,27,2025,6,17
6,14,2,163,1,5,4,5,6.233482144179363,6,0,164,157,2025,3,26
3,17,3,95,2,2,1,3,3.0,3,0,97,98,2025,6,1
4,5,0,38,3,4,5,7,11.044066982179864,5,0,41,43,2025,4,10
2,21,0,106,1,1,2,3,11.229215756529754,2,0,107,110,2025,6,21
1,3,1,23,5,4,5,7,8.670303127533387,6,0,28,28,2025,9,1
4,16,3,316,9,7,3,4,3.0,10,0,325,324,2025,4,17
3,14,1,67,7,0,1,3,11.059016290993878,1,0,74,80,2025,11,30
6,3,0,30,4,0,1,2,12.568011652641696,1,0,34,35,2025,9,10
5,23,3,366,4,2,1,2,3.503695358599171,3,0,370,369,2025,7,29
6,23,1,363,4,0,1,3,10.768729736607124,1,0,367,370,2025,2,19
2,20,1,87,2,0,1,2,10.10907225762184,1,0,89,90,2025,1,25
5,0,3,1,4,7,3,3,3.1435805297323687,10,0,5,0,2025,9,9
1,18,3,349,3,4,3,5,6.496042617591284,5,0,352,352,2025,8,25
0,12,0,144,9,1,2,4,11.589113725150584,2,0,153,159,2025,3,14
4,5,3,40,5,13,5,5,3.622338507684181,14,0,45,36,2025,4,24
4,4,3,8,4,14,5,5,3.0411666993495188,16,0,12,4,2025,1,30
5,7,0,40,4,0,1,2,11.565296805235649,1,0,44,45,2025,2,18
6,15,1,229,9,4,5,5,10.82680655935702,5,0,238,244,2025,3,5
2,5,2,0,1,1,1,2,6.558661470503199,2,0,1,0,2025,5,24
0,23,2,358,2,3,3,5,7.561353667245434,4,0,360,358,2025,5,2
1,0,2,1,4,3,4,4,10.440342719245038,4,0,5,7,2025,4,14
1,16,0,242,9,1,2,3,10.4226777286981,2,0,251,258,2025,7,7
1,22,1,314,0,2,3,4,9.320846874089716,3,1,314,315,2025,11,3
6,0,2,5,3,0,1,3,7.538703000265928,1,0,8,8,2025,1,1
4,4,0,17,2,4,5,5,9.289947491942298,5,1,19,14,2025,9,4
3,14,2,90,7,0,1,2,7.974287602192854,1,0,97,101,2025,8,3
3,2,1,4,0,2,3,4,10.33810516759664,3,0,4,1,2025,2,23
4,6,1,29,6,4,5,5,10.897287970376055,5,0,35,34,2025,1,30
0,17,0,315,12,3,4,6,11.018004976159446,4,0,327,334,2025,3,14
4,5,2,18,3,1,1,3,5.188169279493871,2,0,21,24,2025,1,9
0,7,1,29,4,1,3,3,14.380746866016077,2,0,33,33,2025,11,21
3,7,3,0,2,6,5,7,6.868672172510043,7,0,2,0,2025,7,6
5,23,1,364,8,0,1,2,11.847793162951216,1,0,372,380,2025,3,25
0,9,1,79,7,3,4,4,10.156074736891815,4,0,86,89,2025,2,7
4,11,0,160,10,5,5,7,8.405699320307283,6,0,170,175,2025,5,1
3,20,0,83,1,1,2,3,13.16847713777015,2,0,84,84,2025,5,11
3,2,1,5,4,2,4,5,12.141321336550892,3,0,9,9,2025,7,20
3,23,1,36,4,3,5,5,12.243709142580162,4,0,40,39,2025,10,26
4,19,3,266,4,8,3,4,3.0,10,0,270,267,2025,3,20
2,5,1,12,1,0,2,3,13.7212660514007,1,0,13,17,2025,10,25
5,15,1,240,10,0,2,2,14.585193244196324,1,0,250,262,2025,1,28
6,5,3,13,7,14,5,7,3.0,17,0,20,10,2025,2,19
0,23,0,314,6,3,4,4,10.229655561774102,4,0,320,326,2025,5,30
5,22,3,297,4,2,1,1,3.0,3,0,301,301,2025,8,26
1,12,0,129,10,2,3,3,9.897599622173765,3,0,139,150,2025,5,5
3,9,3,4,6,2,2,3,6.578507311853439,3,0,10,13,2025,10,19
4,23,1,398,5,1,3,3,12.225326635639206,2,0,403,408,2025,6,26
5,0,1,7,3,0,1,3,14.087962919718372,1,0,10,15,2025,5,27
5,0,2,0,3,4,5,6,10.860400585024491,5,0,3,3,2025,7,22
0,21,1,386,5,2,4,6,14.50494466321944,3,0,391,397,2025,6,20
3,9,2,28,4,2,2,4,6.04954466128074,3,0,32,33,2025,11,9
0,10,3,126,19,4,2,4,4.294984812247218,5,0,145,158,2025,6,20
3,18,1,131,2,1,3,5,13.35070441876234,2,0,133,133,2025,6,22
0,16,1,236,5,0,1,1,12.37979314622908,1,0,241,244,2025,5,9
