day_of_week,hour,service_type,queue_length,people_arriving,people_served,active_counters,staff_available,average_service_time,capacity,holiday,current_crowd,waiting_time,future_crowd,crowd_level,year,month,day
6,0,1,2,3,1,2,2,10.742226820587948,2,0,5,12.84,4,0,2025,1,1
6,0,2,5,3,0,1,3,7.538703000265928,1,0,8,38.91,8,0,2025,1,1
6,0,0,9,4,0,1,3,8.949019711168253,1,0,13,79.91,14,0,2025,1,1
6,0,1,12,3,0,1,1,10.332586999844896,1,0,15,125.04,20,1,2025,1,1
6,0,3,7,2,7,4,5,4.139892744717387,10,0,9,7.58,7,0,2025,1,1
6,0,3,14,7,0,1,3,6.901047776781853,1,0,21,94.49,26,1,2025,1,1
6,1,3,12,2,4,2,4,3.996733216432747,5,0,14,23.05,11,0,2025,1,1
6,1,2,16,7,3,3,4,6.75542412648387,4,0,23,36.96,29,1,2025,1,1
6,1,0,17,3,2,4,5,11.471758022650238,3,0,20,48.25,24,1,2025,1,1
6,1,0,15,3,5,4,5,7.245814390448066,6,0,18,29.87,14,0,2025,1,1
6,1,3,12,2,5,3,3,4.847154721062858,6,1,14,22.11,12,0,2025,1,1
6,1,2,12,5,5,4,4,6.8810924807515175,6,0,17,21.7,15,0,2025,1,1
6,2,2,10,2,4,3,3,5.819565694324575,5,0,12,22.03,11,0,2025,1,1
6,2,1,9,2,3,4,6,10.01961209925176,4,0,11,23.57,13,0,2025,1,1
6,2,3,2,1,8,3,3,3.46107530909793,9,0,3,1.43,0,0,2025,1,1
6,2,3,2,4,4,3,4,5.455226182107387,5,0,6,4.16,5,0,2025,1,1
6,2,1,2,1,1,2,3,11.973452118257567,2,0,3,12.28,2,0,2025,1,1
6,2,1,0,0,2,3,3,11.8719321267865,3,0,0,2.71,0,0,2025,1,1
6,3,1,2,4,2,3,5,11.21258299756244,3,0,6,6.73,10,0,2025,1,1
6,3,1,3,4,3,5,6,13.273671942782292,4,0,7,5.17,9,0,2025,1,1
6,3,0,4,4,3,4,5,9.090059582193517,4,0,8,8.42,6,0,2025,1,1
6,3,3,0,3,7,4,5,5.32424478835443,8,0,3,0.0,0,0,2025,1,1
6,3,1,4,4,0,1,3,10.655731539568649,1,0,8,40.78,12,0,2025,1,1
6,3,1,7,4,1,3,3,13.505289829189495,2,0,11,27.08,15,0,2025,1,1
6,4,1,10,5,2,3,5,10.905054961233336,3,0,15,37.8,16,1,2025,1,1
6,4,0,11,4,3,4,5,9.11303324589146,4,0,15,22.09,18,1,2025,1,1
6,4,3,11,1,1,1,3,4.441443190215635,2,0,12,47.53,15,0,2025,1,1
6,4,1,19,8,0,2,2,13.336693414692665,1,0,27,128.49,38,2,2025,1,1
6,4,1,20,3,2,3,5,11.643936793434776,3,0,23,73.36,23,1,2025,1,1
6,4,3,16,2,6,5,5,7.041728553169344,7,0,18,20.77,12,0,2025,1,1
6,5,0,16,3,3,4,4,10.5101061005241,4,0,19,44.12,18,1,2025,1,1
6,5,3,20,4,0,1,2,6.706315337464408,1,0,24,137.07,29,1,2025,1,1
6,5,3,19,3,4,3,3,6.438295499049736,5,0,22,41.06,24,1,2025,1,1
6,5,2,23,4,0,1,1,6.867552334779999,1,0,27,157.67,33,1,2025,1,1
6,5,2,20,4,7,5,6,6.484373405282073,8,0,24,27.14,18,1,2025,1,1
6,5,2,21,1,0,1,3,7.890775544426814,1,0,22,166.59,21,1,2025,1,1
6,6,1,24,4,1,4,5,16.001956898060584,2,0,28,94.3,30,1,2025,1,1
6,6,3,25,4,3,2,2,5.644851210091982,4,0,29,69.31,33,1,2025,1,1
6,6,0,26,2,1,2,2,10.263331583795308,2,0,28,132.59,31,1,2025,1,1
6,6,1,26,1,1,2,3,12.681322624210193,2,0,27,163.63,30,1,2025,1,1
6,6,3,34,10,2,1,3,3.0,3,0,44,100.79,49,2,2025,1,1
6,6,1,35,2,1,3,3,12.3559533824784,2,0,37,143.56,41,2,2025,1,1
6,7,3,31,3,7,3,5,3.9966773165321854,8,0,34,43.12,27,1,2025,1,1
6,7,2,31,4,4,3,3,5.559158343315891,5,0,35,61.48,34,1,2025,1,1
6,7,1,29,1,3,5,6,11.974901071991924,4,0,30,71.32,30,1,2025,1,1
6,7,0,34,7,2,3,5,9.940282507115448,3,0,41,110.86,45,2,2025,1,1
6,7,1,36,4,2,4,6,12.78806356579749,3,0,40,114.99,43,2,2025,1,1
6,7,1,40,4,0,1,3,12.922641738731672,1,0,44,516.85,51,2,2025,1,1
6,8,1,40,2,2,4,5,11.571094830043211,3,0,42,118.24,42,2,2025,1,1
6,8,3,41,5,4,2,2,3.974154616383253,5,0,46,82.16,49,2,2025,1,1
6,8,2,40,2,3,4,4,10.300038041582718,4,0,42,103.18,41,2,2025,1,1
6,8,0,39,2,3,4,5,10.194157261816484,4,0,41,97.65,40,2,2025,1,1
6,8,2,38,3,4,4,5,6.175339027746256,6,0,41,56.46,39,2,2025,1,1
6,8,2,36,5,7,5,6,5.442756011357735,9,0,41,40.2,42,2,2025,1,1
6,9,1,41,5,0,1,3,12.324056157118893,1,0,46,506.38,50,2,2025,1,1
6,9,2,50,12,3,3,5,8.077811962053303,4,0,62,136.45,71,2,2025,1,1
6,9,3,54,10,6,4,5,4.830922088270389,8,0,64,65.44,69,2,2025,1,1
6,9,3,61,9,2,2,2,5.734753260006661,3,0,70,177.73,78,2,2025,1,1
6,9,3,69,9,1,1,3,4.559938871910022,2,0,78,312.36,87,2,2025,1,1
6,9,1,72,3,0,1,3,11.435903939862676,1,0,75,823.48,81,2,2025,1,1
6,10,1,77,7,2,4,6,13.465042914246188,3,0,84,258.48,92,2,2025,1,1
6,10,1,84,7,0,1,1,12.210294462379476,1,0,91,1025.47,101,2,2025,1,1
6,10,2,87,3,0,1,3,7.835808661355815,1,0,90,682.04,93,2,2025,1,1
6,10,1,92,5,0,1,3,10.149685761662727,1,0,97,933.64,102,2,2025,1,1
6,10,1,106,14,0,1,2,10.745734941360563,1,0,120,1141.29,131,2,2025,1,1
